refID,mz,mz2
440,37.9,38
75,38,38.1
379,38.1,38.9
117,39,39
116,41,41
354,41.1,41.1
115,43,43
202,43.1,43.1
104,51,51
398,51.1,51.1
113,55,55
199,55.1,55.1
200,55.9,55.9
106,56,56
244,56.1,56.1
324,56.9,56.9
114,57,57
201,57.1,57.1
282,58,58
100,58.1,58.1
441,62.9,63
97,63,63.1
397,63.1,65
108,65,65.1
358,65.1,
442,66.8,
105,67,67
198,67.1,67.1
443,68.9,
347,69,69
111,69.1,69.1
284,71,71
107,71.1,71.1
350,,71.2
140,72.9,72.9
109,73,73
471,73.1,73.1
444,73.2,
91,73.8,
292,74,74
110,74.1,74.1
353,77,77
102,77.1,77.1
197,79,79
469,79.1,79.1
332,79.3,
250,80.9,80.9
101,81,81
426,81.1,81.1
174,81.2,
57,84,84
385,84.1,84.1
325,84.2,84.2
243,84.9,84.9
99,85,85
368,85.1,85.1
445,85.2,85.2
319,85.7,
76,85.9,85.9
156,86,86
409,86.1,86.1
446,86.2,
78,86.8,
363,87,87
447,87.1,87.1
103,90.9,
196,91,91
428,91.1,91.1
326,91.2,
134,95.8,95.8
47,95.9,95.9
310,96,96
333,97.7,97.7
81,97.9,97.9
300,98,98
338,98.1,98.1
82,98.8,98.8
309,99,99
408,99.1,99.1
251,99.2,
71,101.9,101.9
179,102,102
432,102.1,102.1
259,102.2,102.2
304,102.8,102.8
87,102.9,102.9
185,103,103
424,103.1,103.1
472,103.2,103.2
95,104.7,105
194,105,105.1
415,105.1,105.2
467,105.2,
69,105.3,
178,107,107
427,107.1,107.1
412,107.7,107.9
266,107.8,108
54,107.9,108.1
136,108,108.2
340,108.1,
448,108.2,
281,109.8,
51,109.9,109.9
289,110,110
449,110.1,110.1
89,110.8,111
283,111,111.1
436,111.1,
327,111.2,
133,111.8,111.8
33,111.9,111.9
93,112,112
186,112.9,112.9
383,113,113
314,113.1,113.1
267,113.8,113.8
38,113.9,113.9
235,114,114
423,114.1,114.1
411,114.2,114.2
20,114.8,114.8
98,114.9,114.9
193,115,115
421,115.1,115.1
450,115.2,115.2
276,116.8,
92,116.9,116.9
187,117,117
386,117.1,117.1
451,117.2,117.2
286,117.8,
272,117.9,117.9
62,118,118
419,118.1,118.1
425,118.2,118.2
303,118.8,
83,118.9,118.9
232,119,119
380,119.1,119.1
452,119.2,119.2
297,120.8,
88,120.9,120.9
231,121,121
417,121.1,121.1
453,121.2,121.2
242,121.8,
67,121.9,121.9
238,122,122
434,122.1,122.1
328,122.2,
290,122.8,122.8
61,122.9,122.9
236,123,123
475,123.1,123.1
454,123.2,123.2
79,126.8,
182,127,127
391,127.1,127.1
455,127.2,127.2
195,127.7,127.9
94,127.9,
218,128,128
393,128.1,128.1
437,128.2,128.2
191,128.8,
90,128.9,128.9
139,129,129
416,129.1,129.1
456,129.2,129.2
278,130.8,130.9
74,130.9,131
177,131,131.1
367,131.1,
112,131.2,131.2
362,132.9,132.9
37,133,133
335,133.1,133.1
457,133.2,133.2
280,133.8,133.8
68,133.9,133.9
237,134,134
430,134.1,134.1
323,134.2,134.2
213,134.9,134.9
73,135,135
394,135.1,135.1
458,135.2,135.2
176,136.7,
58,136.9,136.9
302,137,137
402,137.1,137.1
470,137.2,137.2
322,138.7,138.9
80,138.9,139
184,139,139.1
392,139.1,139.2
264,139.2,
316,140.8,140.8
77,140.9,140.9
155,141,141
377,141.1,141.1
459,141.2,141.2
188,144.8,
64,144.9,144.9
230,145,145
438,145.1,145.1
329,145.2,145.2
173,145.8,145.8
217,145.9,145.9
55,146,146
435,146.1,146.1
343,146.2,146.2
84,147,147
320,147.1,147.1
460,147.2,147.2
321,148.8,148.9
96,148.9,149
192,149,149.1
375,149.1,149.2
306,149.2,151.9
86,151.9,152
181,152,152.1
395,152.1,152.2
48,152.2,153
172,153,153.1
388,153.1,153.2
36,153.2,155
210,155,155.1
260,155.1,155.2
152,155.2,157
40,157,157.1
414,157.1,157.2
311,157.2,157.8
273,157.8,157.9
170,157.9,158
53,158,158.1
404,158.1,158.2
461,158.2,158.8
209,158.8,158.9
27,158.9,159
275,159,160.8
180,160.8,160.9
63,160.9,161
239,161,161.1
369,161.1,161.2
44,161.2,163
175,163,163.1
373,163.1,163.2
462,163.2,164.9
317,164.7,165
138,164.9,165.1
85,165,165.2
396,165.1,170.8
312,165.2,170.9
211,170.8,171
52,170.9,171.1
229,171,171.2
420,171.1,172.8
330,171.2,172.9
212,172.8,173
50,172.9,173.1
222,173,173.2
439,173.1,174.8
252,173.2,174.9
227,174.8,175
32,174.9,175.9
463,175,176
341,175.7,176.1
60,175.9,176.2
190,176,176.9
271,176.1,177
464,176.2,177.1
72,176.7,177.2
137,176.9,177.9
189,177,178
413,177.1,178.1
337,177.2,178.2
277,177.9,184
65,178,184.1
382,178.1,184.2
265,178.2,188.9
41,184,189
226,184.1,189.1
291,184.2,189.2
70,188.9,190.8
183,189,190.9
389,189.1,191
465,189.2,191.1
346,190.7,191.2
268,190.8,193
59,190.9,193.1
154,191,193.2
374,191.1,196
35,191.2,196.1
168,193,196.2
262,193.1,201.8
160,193.2,201.9
31,196,202
352,196.1,202.1
334,196.2,202.2
345,201.8,202.7
269,201.9,202.8
66,202,202.9
378,202.1,203
422,202.2,203.1
318,202.6,203.2
270,202.7,204.8
336,202.8,204.9
228,202.9,205
46,203,205.1
371,203.1,205.2
433,203.2,205.3
279,204.7,213
288,204.8,213.1
56,204.9,213.2
135,205,213.3
403,205.1,215
431,205.2,215.1
29,205.3,217
169,213,217.1
387,213.1,217.2
405,213.2,225.5
313,213.3,225.9
43,215,226
468,215.1,226.1
216,215.3,226.2
28,217,226.3
342,217.1,227.7
253,217.2,227.8
315,225.5,227.9
49,225.9,228
153,226,228.1
390,226.1,228.2
407,226.2,228.3
254,226.3,230.8
351,227.7,230.9
364,227.8,231
285,227.9,231.1
42,228,231.2
361,228.1,236.4
376,228.2,236.5
263,228.3,236.8
166,230.8,236.9
207,230.9,237
25,231,237.1
399,231.1,237.2
466,231.2,237.3
410,236.4,238.6
274,236.7,238.8
287,236.8,238.9
45,236.9,239
171,237,239.1
381,237.1,239.2
406,237.2,239.3
344,237.3,256.6
308,238.6,256.7
307,238.8,256.8
132,238.9,256.9
39,239,257
474,239.1,257.1
339,239.3,257.2
365,256.6,260.9
165,256.7,261
151,256.8,261.1
131,256.9,261.2
30,257,261.3
357,257.1,263
473,257.2,263.1
429,257.3,263.2
208,257.4,263.3
26,260.9,265
164,261,265.1
372,261.1,265.2
418,261.2,265.3
24,261.3,271.5
129,263,271.6
356,263.1,271.7
401,263.2,271.8
150,263.3,271.9
23,265,272
355,265.1,272.1
370,265.2,272.2
255,265.3,272.3
331,271.5,272.4
305,271.6,276
167,271.7,276.1
296,271.8,276.2
130,271.9,276.3
34,272,281
359,272.1,281.1
384,272.2,281.2
400,272.3,286.5
21,272.4,286.6
128,276,286.7
163,276.1,286.8
366,276.2,286.9
241,276.3,287
18,281,299.9
261,281.1,300
10,281.2,300.1
121,286.5,300.2
143,286.6,301.9
162,286.7,302
206,286.8,302.1
17,286.9,302.2
234,287,335.60001
19,299.9,335.70001
127,300,335.80001
360,300.1,335.90001
256,300.2,336.40001
149,301.9,336.50001
22,302,336.60001
348,302.1,336.70001
247,302.2,336.80001
223,335.60001,336.90001
9,335.70001,342.50001
124,335.80001,342.60001
257,335.90001,342.70001
349,336.40001,342.80001
295,336.50001,342.90001
215,336.60001,344.60001
148,336.70001,344.70001
16,336.80001,344.80001
258,336.90001,344.90001
301,342.50001,346.60001
158,342.60001,346.70001
125,342.70001,346.80001
15,342.80001,346.90001
233,342.90001,348.60001
161,344.60001,348.70001
13,344.70001,348.80001
299,344.80001,348.90001
146,344.90001,349.00001
11,346.60001,370.20001
204,346.70001,370.30001
249,346.80001,370.40001
248,346.90001,372.20001
221,348.60001,372.30001
126,348.70001,372.40001
147,348.80001,384.20001
14,348.90001,384.30001
5,349.00001,384.40001
246,370.20001,386.20001
123,370.30001,386.30001
7,370.40001,386.40001
144,372.20001,408.70001
219,372.30001,408.80001
6,372.40001,408.90001
118,384.20001,485.00001
293,384.30001,485.10001
1,384.40001,485.20001
224,386.20001,485.30001
122,386.30001,485.40001
8,386.40001,485.50001
120,408.70001,485.60001
145,408.80001,485.70001
220,408.90001,546.30001
225,485.00001,546.40001
159,485.10001,546.50001
12,485.20001,546.60001
214,485.30001,596.10001
205,485.40001,596.20001
245,485.50001,596.30001
294,485.60001,651.80001
3,485.70001,651.90001
203,546.30001,652.00001
119,546.40001,
298,546.50001,
141,546.60001,
4,596.10001,
240,596.20001,
157,596.30001,
142,651.80001,
2,651.90001,
,652.00001,
